points_count,for_each seq,for_each par,for_each par_unsec,for_each unsec,partial_sum,inclusive_scan seq,inclusive_scan par,inclusive_scan par_unsec,inclusive_scan unsec,inner_product,transform_reduce seq,transform_reduce par,transform_reduce par_unsec,transform_reduce unsec
10000000,49.4,49.2,49,49.6,47.8,46,95.2,101.8,52.8,100.6,59,59.2,59,59
20000000,100.2,100.4,77.2,61.6,57,60,118,120.8,63,128.8,72,72,72,72
30000000,93.8,93.8,93.6,92.2,85,86.4,179.8,182.6,89,185.2,111.6,111.2,104.2,104.2
40000000,121.8,125.6,128.2,128.4,120,113,237,243.6,118.4,245,144.4,145.6,140,140
50000000,158.4,153.4,157.8,153.8,141.4,142,296,304.6,157,320,180.4,180.8,174.2,174.6
60000000,184.4,183.8,187.6,186.6,171.8,170.2,354.2,363.6,173.8,383,218.4,216.4,209.8,210.8
70000000,219.4,217.8,215.4,215.4,199,198.8,415.2,419,203,445,259.2,253,244.6,245.4
80000000,248.2,249.2,257,244,226.6,226.2,472.6,491.6,252.6,489.8,288.6,289.6,280.6,282.6
90000000,281.8,277,282.8,290.6,262.4,260.6,541.6,545.8,271.8,547.4,324.6,324.4,326.8,326.8
100000000,308,315.2,322.6,306,290,296.6,591.8,601.4,314,672.4,360.6,361.4,363,363
